tconst,primaryTitle,startYear,genres,lead_actors_ids,runtimeMinutes,averageRating,Language,Country,numVotes,budget,BoxOffice,plot
tt1853728,Django Unchained,2012,"[""Drama"", ""Western""]","[""nm0004937"", ""nm0910607"", ""nm0000138""]",165,8.5,English,United States,1878015,100.0,449.8,"With the help of a German bounty-hunter, a freed slave sets out to rescue his wife from a brutal plantation owner in Mississippi."
tt0076759,Star Wars: Episode IV - A New Hope,1977,"[""Action"", ""Adventure"", ""Fantasy""]","[""nm0000434"", ""nm0000148"", ""nm0000402""]",121,8.6,English,United States,1555851,11.0,775.4,"Luke Skywalker joins forces with a Jedi Knight, a cocky pilot, a Wookiee and two droids to save the galaxy from the Empire's world-destroying battle station, while also attempting to rescue Princess Leia from the mysterious Darth ..."
tt0910970,WALL·E,2008,"[""Animation"", ""Adventure"", ""Family""]","[""nm0123785"", ""nm2264184"", ""nm0307531""]",98,8.4,English,United States,1306354,180.0,532.5,"A robot who is responsible for cleaning a waste-covered Earth meets another robot and falls in love with her. Together, they set out on a journey that will alter the fate of mankind."
tt1345836,The Dark Knight Rises,2012,"[""Action"", ""Crime"", ""Drama""]","[""nm0000288"", ""nm0362766"", ""nm0004266""]",164,8.4,English,United Kingdom,1989037,,1115.0,"Bane, an imposing terrorist, attacks Gotham City and disrupts its eight-year-long period of peace. This forces Bruce Wayne to come out of hiding and don the cape and cowl of Batman again."
tt0088763,Back to the Future,1985,"[""Adventure"", ""Comedy"", ""Sci-Fi""]","[""nm0000150"", ""nm0000502"", ""nm0000670""]",116,8.5,English,United States,1436086,19.0,393.0,"Marty McFly, a 17-year-old high school student, is accidentally sent 30 years into the past in a time-traveling DeLorean invented by his close friend, the maverick scientist Doc Brown."
tt0209144,Memento,2001,"[""Drama"", ""Mystery"", ""Thriller""]","[""nm0001602"", ""nm0005251"", ""nm0001592""]",113,8.4,English,United States,1432382,5.0,40.1,A former insurance investigator who now suffers from anterograde amnesia uses notes and tattoos to hunt down his wife's murderer.
tt0034583,Casablanca,1943,"[""Drama"", ""Romance"", ""War""]","[""nm0000007"", ""nm0000006"", ""nm0002134""]",102,8.5,English,United States,654681,0.94,3.7,A cynical expatriate American cafe owner struggles to decide whether or not to help his former lover and her fugitive husband escape the Nazis in French Morocco.
tt0095765,Cinema Paradiso,1990,"[""Drama"", ""Romance""]","[""nm0634159"", ""nm0134073"", ""nm0041066""]",174,8.5,Italian,Italy,316943,5.0,36.0,"Salvatore, a famous film director, returns to his hometown for the funeral of the local theater's film projectionist, Alfredo. He reminisces about his life as a young boy falling in love with cinema."
tt4154796,Avengers: Endgame,2019,"[""Action"", ""Adventure"", ""Sci-Fi""]","[""nm0000375"", ""nm0262635"", ""nm0749263""]",181,8.4,English,United States,1440952,356.0,2799.0,"After the devastating events of Avengers: Infinity War (2018), the universe is in ruins. With the help of remaining allies, the Avengers assemble once more in order to reverse Thanos' actions and restore balance to the universe."
tt4154756,Avengers: Infinity War,2018,"[""Action"", ""Adventure"", ""Sci-Fi""]","[""nm0000375"", ""nm1165110"", ""nm0749263""]",149,8.4,English,United States,1367190,325.0,2052.0,The Avengers and their allies must be willing to sacrifice all in an attempt to defeat the powerful Thanos before his blitz of devastation and ruin puts an end to the universe.
tt7286456,Joker,2019,"[""Crime"", ""Drama"", ""Thriller""]","[""nm0001618"", ""nm0000134"", ""nm5939164""]",122,8.3,English,United States,1688330,55.0,1079.0,"Arthur Fleck, a party clown and a failed stand-up comedian, leads an impoverished life with his ailing mother. However, when society shuns him and brands him as a freak, he decides to embrace the life of chaos in Gotham City."
